backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,raw_error_rate,idle_error_rate,corrected_error_rate
custom_full,300,gross,bposd,12,12,1000,modsi1000,0.001,0.98500,0.00000,0.00000
custom_full,300,gross,bposd,12,12,1000,modsi1000,0.002,0.99900,0.00000,0.00000
custom_full,300,steane,bposd,9,9,1000,modsi1000,0.001,0.03200,0.00000,0.04600
custom_full,300,steane,bposd,9,9,1000,modsi1000,0.002,0.06600,0.00000,0.05500
custom_full,300,gross,bposd,12,12,1000,modsi1000,0.005,1.00000,0.00000,0.12800
custom_full,300,steane,bposd,9,9,1000,modsi1000,0.005,0.14900,0.00000,0.15700
custom_full,300,steane,bposd,9,9,1000,modsi1000,0.01,0.27800,0.00000,0.25300
custom_full,300,surface,bposd,11,11,1000,modsi1000,0.001,0.23100,0.00000,0.00000
custom_full,300,gross,bposd,12,12,1000,modsi1000,0.01,1.00000,0.00000,0.99900
custom_full,300,surface,bposd,11,11,1000,modsi1000,0.002,0.34700,0.00000,0.00000
custom_full,300,hh,bposd,11,11,1000,modsi1000,0.001,0.37600,0.00000,0.00000
custom_full,300,color,bposd,11,11,1000,modsi1000,0.001,0.29500,0.00000,0.00000
custom_full,300,surface,bposd,11,11,1000,modsi1000,0.005,0.47200,0.00000,0.01600
custom_full,300,hh,bposd,11,11,1000,modsi1000,0.002,0.47800,0.00000,0.00800
custom_full,300,surface,bposd,11,11,1000,modsi1000,0.01,0.50000,0.00000,0.31100
custom_full,300,hh,bposd,11,11,1000,modsi1000,0.005,0.50600,0.00000,0.25900
custom_full,300,hh,bposd,11,11,1000,modsi1000,0.01,0.49000,0.00000,0.50000
custom_full,300,bacon,bposd,17,17,1000,modsi1000,0.001,0.48300,0.00000,0.02500
custom_full,300,bacon,bposd,17,17,1000,modsi1000,0.002,0.49400,0.00000,0.30800
custom_full,300,color,bposd,11,11,1000,modsi1000,0.002,0.40600,0.00000,0.00300
custom_full,300,bacon,bposd,17,17,1000,modsi1000,0.01,0.50900,0.00000,0.51400
custom_full,300,bacon,bposd,17,17,1000,modsi1000,0.005,0.48500,0.00000,0.51000
custom_full,300,color,bposd,11,11,1000,modsi1000,0.005,0.50500,0.00000,0.15900
custom_full,300,color,bposd,11,11,1000,modsi1000,0.01,0.51500,0.00000,0.51300
custom_full,300,gross,bposd,12,12,1000,modsi1000,0.004,1.000,0.000,0.031
custom_full,300,steane,bposd,9,9,1000,modsi1000,0.004,0.137,0.000,0.134
custom_full,300,steane,bposd,9,9,1000,modsi1000,0.006,0.205,0.000,0.189
custom_full,300,gross,bposd,12,12,1000,modsi1000,0.006,1.000,0.000,0.425
custom_full,300,steane,bposd,9,9,1000,modsi1000,0.008,0.240,0.000,0.252
custom_full,300,gross,bposd,12,12,1000,modsi1000,0.008,1.000,0.000,0.956
custom_full,300,surface,bposd,11,11,1000,modsi1000,0.004,0.443,0.000,0.007
custom_full,300,surface,bposd,11,11,1000,modsi1000,0.006,0.485,0.000,0.035
custom_full,300,surface,bposd,11,11,1000,modsi1000,0.008,0.479,0.000,0.143
custom_full,300,hh,bposd,11,11,1000,modsi1000,0.004,0.493,0.000,0.133
custom_full,300,hh,bposd,11,11,1000,modsi1000,0.008,0.500,0.000,0.516
custom_full,300,hh,bposd,11,11,1000,modsi1000,0.006,0.517,0.000,0.372
custom_full,300,bacon,bposd,17,17,1000,modsi1000,0.004,0.488,0.000,0.491
custom_full,300,bacon,bposd,17,17,1000,modsi1000,0.008,0.507,0.000,0.511
custom_full,300,bacon,bposd,17,17,1000,modsi1000,0.006,0.507,0.000,0.509
custom_full,300,color,bposd,11,11,1000,modsi1000,0.004,0.497,0.000,0.069
custom_full,300,color,bposd,11,11,1000,modsi1000,0.006,0.501,0.000,0.283
custom_full,300,color,bposd,11,11,1000,modsi1000,0.008,0.488,0.000,0.431

